FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_hoje_ref.e4a01aa2-6104-34f4-a5ff-32c2c80df0c4,e4a01aa2-6104-34f4-a5ff-32c2c80df0c4,-50.935,-5.098,2020-09-24T16:35:00,AQUA_M-T,ANAPU,PARÁ,Brasil,1500859,15,33,,,,Amazônia,POINT (-5.098 -50.935)
focos_brasil_hoje_ref.7fa74d35-6645-3b52-b4c2-5c2ef50d19e8,7fa74d35-6645-3b52-b4c2-5c2ef50d19e8,-48.644,-5.203,2020-09-24T16:35:00,AQUA_M-T,BOM JESUS DO TOCANTINS,PARÁ,Brasil,1501576,15,33,,,,Amazônia,POINT (-5.203 -48.644)
focos_brasil_hoje_ref.2eab8886-56da-3aff-b52a-5abda00734bf,2eab8886-56da-3aff-b52a-5abda00734bf,-48.755,-2.776,2020-09-24T16:35:00,AQUA_M-T,TAILÂNDIA,PARÁ,Brasil,1507953,15,33,,,,Amazônia,POINT (-2.776 -48.755)
focos_brasil_hoje_ref.0a3a810c-bd2a-3e58-a954-5f7b9565627c,0a3a810c-bd2a-3e58-a954-5f7b9565627c,-44.749,-5.911,2020-09-24T16:35:00,AQUA_M-T,TUNTUM,MARANHÃO,Brasil,2112308,21,33,,,,Cerrado,POINT (-5.911 -44.749)
focos_brasil_hoje_ref.20db8ee8-675c-3d06-a13a-551b0665f815,20db8ee8-675c-3d06-a13a-551b0665f815,-48.394,-5.18,2020-09-24T16:35:00,AQUA_M-T,SÃO SEBASTIÃO DO TOCANTINS,TOCANTINS,Brasil,1720309,17,33,,,,Amazônia,POINT (-5.18 -48.394)
focos_brasil_hoje_ref.388e384e-792c-3846-a522-2159312fc030,388e384e-792c-3846-a522-2159312fc030,-43.72,-4.983,2020-09-24T16:35:00,AQUA_M-T,SÃO JOÃO DO SOTER,MARANHÃO,Brasil,2111078,21,33,,,,Cerrado,POINT (-4.983 -43.72)
focos_brasil_hoje_ref.fe243761-0097-391c-a910-9635177476f5,fe243761-0097-391c-a910-9635177476f5,-44.918,-5.88,2020-09-24T16:35:00,AQUA_M-T,FERNANDO FALCÃO,MARANHÃO,Brasil,2104081,21,33,,,,Cerrado,POINT (-5.88 -44.918)
focos_brasil_hoje_ref.6197cd73-b077-3e13-83ec-f63545932535,6197cd73-b077-3e13-83ec-f63545932535,-49.233,-0.824,2020-09-24T16:35:00,AQUA_M-T,PONTA DE PEDRAS,PARÁ,Brasil,1505700,15,33,,,,Amazônia,POINT (-0.824 -49.233)
focos_brasil_hoje_ref.ef8ff432-ed40-39dc-85a3-9bfdb68a27ee,ef8ff432-ed40-39dc-85a3-9bfdb68a27ee,-52.062,-2.031,2020-09-24T16:35:00,AQUA_M-T,PORTO DE MOZ,PARÁ,Brasil,1505908,15,33,,,,Amazônia,POINT (-2.031 -52.062)
focos_brasil_hoje_ref.a54cd7a9-9b3c-3472-b761-84a5b305e084,a54cd7a9-9b3c-3472-b761-84a5b305e084,-46.402,-3.267,2020-09-24T16:35:00,AQUA_M-T,CENTRO NOVO DO MARANHÃO,MARANHÃO,Brasil,2103174,21,33,,,,Amazônia,POINT (-3.267 -46.402)
focos_brasil_hoje_ref.c3d2d3ab-f4da-3d87-9049-8ac224172a5c,c3d2d3ab-f4da-3d87-9049-8ac224172a5c,-44.172,-5.903,2020-09-24T16:35:00,AQUA_M-T,JATOBÁ,MARANHÃO,Brasil,2105450,21,33,,,,Cerrado,POINT (-5.903 -44.172)
focos_brasil_hoje_ref.3a5f6651-9970-3801-bf12-84212e6601c2,3a5f6651-9970-3801-bf12-84212e6601c2,-48.381,-5.178,2020-09-24T16:35:00,AQUA_M-T,SÃO SEBASTIÃO DO TOCANTINS,TOCANTINS,Brasil,1720309,17,33,,,,Amazônia,POINT (-5.178 -48.381)
